nbPlayer, nbType, creationAddTime, nbNodeADD, creationDagTime, nbNodeDAG, solvingTime, emptyCore, cos
5, 1, 1.0, 21, 3.0, 21, 2.0, false, 0.0
6, 1, 0.0, 28, 0.0, 28, 0.0, false, 0.0
7, 1, 1.0, 36, 0.0, 36, 1.0, false, 0.0
8, 1, 0.0, 45, 1.0, 45, 0.0, false, 0.0
9, 1, 1.0, 55, 0.0, 55, 0.0, false, 0.0
10, 1, 0.0, 66, 0.0, 66, 1.0, false, 0.0
11, 1, 0.0, 78, 0.0, 78, 1.0, false, 0.0
12, 1, 1.0, 91, 0.0, 91, 1.0, false, 0.0
13, 1, 0.0, 105, 1.0, 105, 1.0, false, 0.0
14, 1, 0.0, 120, 2.0, 120, 0.0, false, 0.0
15, 1, 0.0, 136, 2.0, 136, 2.0, false, 0.0
16, 1, 0.0, 153, 1.0, 153, 2.0, false, 0.0
17, 1, 0.0, 171, 2.0, 171, 1.0, false, 0.0
18, 1, 0.0, 190, 4.0, 190, 2.0, false, 0.0
19, 1, 0.0, 210, 8.0, 210, 2.0, false, 0.0
20, 1, 0.0, 231, 15.0, 231, 2.0, false, 0.0
21, 1, 0.0, 253, 31.0, 253, 2.0, false, 0.0
22, 1, 0.0, 276, 60.0, 276, 3.0, false, 0.0
23, 1, 0.0, 300, 117.0, 300, 2.0, false, 0.0
24, 1, 0.0, 325, 237.0, 325, 3.0, false, 0.0
25, 1, 0.0, 351, 476.0, 351, 4.0, false, 0.0
